epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3497.33,1.59359,0.83768,1.125,0.909,0.70248,0.77396,0.36572,1.9032,0.82198,1.20799,0.0011882,0.0011882,0.0011882
43,3579.53,1.59617,0.84017,1.11767,0.91638,0.69328,0.77892,0.34464,2.06107,0.80193,1.29008,0.0011684,0.0011684,0.0011684
44,3664.31,1.60441,0.84546,1.1276,0.92426,0.68954,0.77882,0.37587,1.90666,0.80597,1.20426,0.0011486,0.0011486,0.0011486
45,3745.59,1.59628,0.84742,1.12426,0.92479,0.70358,0.78883,0.3965,1.80432,0.80636,1.16542,0.0011288,0.0011288,0.0011288
46,3829,1.57456,0.81,1.11527,0.91907,0.7192,0.79769,0.40084,1.75348,0.78007,1.16284,0.001109,0.001109,0.001109
47,3912.09,1.59286,0.8461,1.12011,0.91273,0.6949,0.78273,0.35818,1.90079,0.83488,1.20092,0.0010892,0.0010892,0.0010892
48,3992.39,1.57234,0.82843,1.11895,0.90981,0.66036,0.75327,0.30044,2.17022,0.84245,1.31968,0.0010694,0.0010694,0.0010694
49,4073.37,1.59451,0.82071,1.11544,0.92694,0.68418,0.77704,0.35551,1.9362,0.82107,1.21121,0.0010496,0.0010496,0.0010496
50,4155.34,1.56042,0.83628,1.11517,0.88653,0.67676,0.75895,0.35039,1.94155,0.84991,1.23351,0.0010298,0.0010298,0.0010298
51,4237.34,1.53064,0.79812,1.11434,0.92297,0.71368,0.79819,0.3938,1.82779,0.79128,1.17436,0.00101,0.00101,0.00101
52,4318.97,1.56843,0.82958,1.11489,0.90784,0.67287,0.7726,0.39568,1.74612,0.84324,1.1454,0.0009902,0.0009902,0.0009902
53,4400.95,1.54712,0.80976,1.10439,0.88672,0.66437,0.74643,0.33054,2.04712,0.82638,1.27575,0.0009704,0.0009704,0.0009704
54,4484.41,1.54539,0.80046,1.11864,0.89856,0.70008,0.7813,0.36884,1.91964,0.80749,1.22363,0.0009506,0.0009506,0.0009506
55,4564.89,1.54422,0.82073,1.11398,0.86046,0.65121,0.73802,0.34717,1.89272,0.82634,1.19961,0.0009308,0.0009308,0.0009308
56,4645.92,1.54044,0.81582,1.11357,0.91049,0.70286,0.78722,0.40711,1.74772,0.81756,1.15886,0.000911,0.000911,0.000911
57,4729.26,1.54562,0.80923,1.10128,0.91364,0.69964,0.78667,0.36517,1.93162,0.77844,1.20118,0.0008912,0.0008912,0.0008912
58,4811.67,1.55107,0.82797,1.11019,0.92328,0.70056,0.78968,0.40416,1.78589,0.77171,1.15604,0.0008714,0.0008714,0.0008714
59,4889.7,1.5001,0.82674,1.10237,0.89747,0.64884,0.74849,0.35864,1.90958,0.82981,1.21617,0.0008516,0.0008516,0.0008516
60,4970.42,1.54688,0.79022,1.10345,0.91692,0.67629,0.77662,0.38307,1.79882,0.76606,1.17285,0.0008318,0.0008318,0.0008318
61,5052.13,1.5535,0.82057,1.11427,0.86594,0.64911,0.73935,0.33023,2.01666,0.85461,1.25491,0.000812,0.000812,0.000812
62,5132.25,1.52246,0.79651,1.09966,0.92309,0.69001,0.78288,0.36253,1.97841,0.80638,1.21879,0.0007922,0.0007922,0.0007922
63,5214.83,1.54025,0.7978,1.09973,0.906,0.70248,0.7903,0.41922,1.68043,0.76184,1.12479,0.0007724,0.0007724,0.0007724
64,5297.88,1.53365,0.80413,1.09729,0.89842,0.68134,0.77033,0.37811,1.80976,0.79727,1.17655,0.0007526,0.0007526,0.0007526
65,5380.45,1.50692,0.80395,1.09544,0.91964,0.69301,0.77677,0.34388,2.02898,0.78388,1.26268,0.0007328,0.0007328,0.0007328
66,5462.02,1.48996,0.7709,1.08753,0.92375,0.68765,0.78024,0.35886,1.97808,0.78138,1.23726,0.000713,0.000713,0.000713
67,5545.36,1.48088,0.80003,1.08504,0.90367,0.67329,0.76121,0.37951,1.79445,0.81458,1.17268,0.0006932,0.0006932,0.0006932
68,5629.32,1.50353,0.7701,1.08781,0.92937,0.71196,0.79822,0.37984,1.92069,0.76219,1.20145,0.0006734,0.0006734,0.0006734
69,5709.46,1.46121,0.76185,1.07755,0.93076,0.70828,0.79656,0.37232,1.93034,0.79028,1.20796,0.0006536,0.0006536,0.0006536
70,5793.02,1.49114,0.78437,1.08323,0.9158,0.68702,0.78098,0.36057,1.93331,0.80155,1.21581,0.0006338,0.0006338,0.0006338
71,5875.33,1.45427,0.75068,1.07638,0.89366,0.67582,0.7559,0.31817,2.09714,0.82236,1.28816,0.000614,0.000614,0.000614
72,5960.05,1.49342,0.76222,1.08022,0.92756,0.70493,0.78961,0.38883,1.86798,0.75816,1.19019,0.0005942,0.0005942,0.0005942
73,6041.74,1.4759,0.7381,1.06655,0.92641,0.71692,0.8011,0.37073,1.93559,0.77389,1.20845,0.0005744,0.0005744,0.0005744
74,6125.78,1.46746,0.73311,1.0637,0.91284,0.66419,0.76235,0.34174,1.98979,0.79735,1.24483,0.0005546,0.0005546,0.0005546
75,6211.52,1.44547,0.73301,1.06629,0.90793,0.69229,0.78211,0.33852,2.05161,0.7964,1.26103,0.0005348,0.0005348,0.0005348
76,6294.17,1.42428,0.71986,1.05942,0.90211,0.68591,0.76735,0.3315,2.0103,0.81714,1.26,0.000515,0.000515,0.000515
77,6375.39,1.45418,0.72935,1.06927,0.90902,0.68882,0.77872,0.33488,2.01948,0.8311,1.25828,0.0004952,0.0004952,0.0004952
78,6456.44,1.4317,0.71241,1.05662,0.9232,0.70043,0.78627,0.34393,2.03362,0.79781,1.24596,0.0004754,0.0004754,0.0004754
79,6538.53,1.42444,0.71871,1.0582,0.92645,0.68796,0.78415,0.34508,2.01702,0.80726,1.24478,0.0004556,0.0004556,0.0004556
80,6623.24,1.43949,0.72475,1.06761,0.88858,0.64316,0.74153,0.3143,2.09282,0.83993,1.29927,0.0004358,0.0004358,0.0004358
81,6702.58,1.4146,0.707,1.05219,0.86717,0.63443,0.72456,0.28281,2.21101,0.86437,1.34185,0.000416,0.000416,0.000416
82,6786.18,1.38681,0.68309,1.03985,0.89773,0.66856,0.76022,0.33579,1.97449,0.8082,1.22031,0.0003962,0.0003962,0.0003962
83,6868.97,1.37758,0.68974,1.04686,0.8819,0.6673,0.7536,0.31914,2.06222,0.81784,1.26903,0.0003764,0.0003764,0.0003764
84,6953.68,1.38678,0.68905,1.04667,0.88374,0.66982,0.75784,0.30979,2.11601,0.84481,1.29251,0.0003566,0.0003566,0.0003566
85,7034.46,1.37224,0.68257,1.0352,0.90726,0.67287,0.77027,0.31938,2.10416,0.83025,1.274,0.0003368,0.0003368,0.0003368
86,7116.89,1.35424,0.66687,1.03196,0.93138,0.70894,0.7996,0.37234,1.94819,0.74376,1.20653,0.000317,0.000317,0.000317
87,7203.23,1.36644,0.66086,1.03476,0.91177,0.6908,0.77868,0.33652,2.06886,0.77707,1.2633,0.0002972,0.0002972,0.0002972
88,7285.72,1.35158,0.65803,1.03843,0.93933,0.72251,0.81084,0.39182,1.88252,0.70959,1.19136,0.0002774,0.0002774,0.0002774
89,7363.85,1.37378,0.67174,1.02733,0.94216,0.70532,0.80376,0.36713,1.95064,0.7597,1.20833,0.0002576,0.0002576,0.0002576
90,7446.24,1.35903,0.66171,1.02721,0.91912,0.6884,0.78485,0.34703,2.00123,0.78317,1.23064,0.0002378,0.0002378,0.0002378
91,7499.14,1.43459,0.70245,1.0911,0.93107,0.71494,0.80168,0.38368,1.88344,0.71264,1.1904,0.000218,0.000218,0.000218
92,7542.77,1.38642,0.70832,1.0682,0.92552,0.7203,0.80476,0.36949,1.94596,0.72987,1.21573,0.0001982,0.0001982,0.0001982
93,7586.49,1.34104,0.68527,1.04822,0.91146,0.71478,0.79228,0.35918,1.97258,0.7399,1.22519,0.0001784,0.0001784,0.0001784
94,7630.5,1.37263,0.6934,1.0583,0.92092,0.71464,0.7959,0.36532,1.93853,0.72252,1.21556,0.0001586,0.0001586,0.0001586
95,7675.7,1.36411,0.69273,1.06078,0.9255,0.7251,0.80437,0.37987,1.8972,0.70937,1.20048,0.0001388,0.0001388,0.0001388
96,7720.49,1.33163,0.67686,1.04454,0.92503,0.72504,0.80295,0.37286,1.92503,0.71894,1.21479,0.000119,0.000119,0.000119
97,7766.06,1.31333,0.67538,1.03963,0.92747,0.72425,0.80265,0.36999,1.94365,0.71841,1.22218,9.92e-05,9.92e-05,9.92e-05
98,7810.09,1.30664,0.67461,1.03371,0.93451,0.72933,0.81131,0.38287,1.91179,0.70603,1.20644,7.94e-05,7.94e-05,7.94e-05
99,7855.52,1.31262,0.67801,1.03946,0.93217,0.72567,0.8072,0.38031,1.91212,0.71163,1.20733,5.96e-05,5.96e-05,5.96e-05
100,7899.19,1.32399,0.68329,1.04452,0.93367,0.73103,0.8104,0.38384,1.90257,0.70606,1.20495,3.98e-05,3.98e-05,3.98e-05
